"original","protocol","sip","sport","dip","dport"
"TCP 12.166.7.69:47121->25.0.18.72:80","TCP","12.166.7.69","47121","25.0.18.72","80"
"TCP 122.52.233.229:33090->25.0.18.217:80","TCP","122.52.233.229","33090","25.0.18.217","80"
"TCP 80.66.17.85:6850->25.0.18.163:21","TCP","80.66.17.85","6850","25.0.18.163","21"
"TCP 12.166.7.78:20010->25.0.18.231:80","TCP","12.166.7.78","20010","25.0.18.231","80"
"TCP 12.166.6.218:53772->25.0.17.248:80","TCP","12.166.6.218","53772","25.0.17.248","80"
"TCP 12.166.6.232:19362->25.0.18.100:80","TCP","12.166.6.232","19362","25.0.18.100","80"
"TCP 213.184.21.205:33321->25.0.17.190:80","TCP","213.184.21.205","33321","25.0.17.190","80"
"TCP 12.166.7.49:51776->25.0.18.63:80","TCP","12.166.7.49","51776","25.0.18.63","80"
"TCP 122.52.233.220:51578->25.0.19.84:80","TCP","122.52.233.220","51578","25.0.19.84","80"
"TCP 213.184.20.82:49983->25.0.18.4:80","TCP","213.184.20.82","49983","25.0.18.4","80"
"TCP 213.184.19.37:64607->25.0.19.21:80","TCP","213.184.19.37","64607","25.0.19.21","80"
"TCP 12.166.6.169:36129->25.0.17.229:80","TCP","12.166.6.169","36129","25.0.17.229","80"
"TCP 80.66.18.196:29353->25.0.19.108:80","TCP","80.66.18.196","29353","25.0.19.108","80"
"TCP 80.66.15.238:63077->25.0.18.245:80","TCP","80.66.15.238","63077","25.0.18.245","80"
"TCP 213.184.19.93:49712->25.0.17.209:80","TCP","213.184.19.93","49712","25.0.17.209","80"
"TCP 213.184.21.44:61817->25.0.19.19:80","TCP","213.184.21.44","61817","25.0.19.19","80"
"TCP 213.184.22.227:31054->25.0.18.229:80","TCP","213.184.22.227","31054","25.0.18.229","80"
"TCP 80.66.17.226:24609->25.0.19.126:80","TCP","80.66.17.226","24609","25.0.19.126","80"
"TCP 12.166.6.173:53820->25.0.19.49:80","TCP","12.166.6.173","53820","25.0.19.49","80"
"TCP 12.166.7.248:21768->25.0.18.95:80","TCP","12.166.7.248","21768","25.0.18.95","80"
"TCP 122.52.240.177:3419->25.0.17.219:80","TCP","122.52.240.177","3419","25.0.17.219","80"
"TCP 12.166.7.174:64047->25.0.19.74:80","TCP","12.166.7.174","64047","25.0.19.74","80"
"TCP 122.52.238.65:13554->25.0.18.174:80","TCP","122.52.238.65","13554","25.0.18.174","80"
"TCP 213.184.22.5:48297->25.0.17.171:80","TCP","213.184.22.5","48297","25.0.17.171","80"
"TCP 122.52.247.79:11188->25.0.19.62:80","TCP","122.52.247.79","11188","25.0.19.62","80"
"TCP 80.66.16.29:6550->25.0.18.43:80","TCP","80.66.16.29","6550","25.0.18.43","80"
"TCP 122.52.248.168:15348->25.0.18.123:80","TCP","122.52.248.168","15348","25.0.18.123","80"
"TCP 80.66.19.65:37418->25.0.18.106:80","TCP","80.66.19.65","37418","25.0.18.106","80"
"TCP 12.166.6.189:31203->25.0.18.20:80","TCP","12.166.6.189","31203","25.0.18.20","80"
"TCP 80.66.18.193:21690->25.0.19.2:80","TCP","80.66.18.193","21690","25.0.19.2","80"
"TCP 122.52.254.143:19663->25.0.17.177:80","TCP","122.52.254.143","19663","25.0.17.177","80"
"TCP 80.66.18.177:58587->25.0.18.94:80","TCP","80.66.18.177","58587","25.0.18.94","80"
"TCP 213.184.19.61:39116->25.0.19.71:80","TCP","213.184.19.61","39116","25.0.19.71","80"
"TCP 213.184.23.22:40574->25.0.17.135:80","TCP","213.184.23.22","40574","25.0.17.135","80"
"TCP 122.52.235.31:64455->25.0.18.235:80","TCP","122.52.235.31","64455","25.0.18.235","80"
"TCP 213.184.23.79:10068->25.0.17.172:80","TCP","213.184.23.79","10068","25.0.17.172","80"
"TCP 80.66.16.126:51212->25.0.18.89:80","TCP","80.66.16.126","51212","25.0.18.89","80"
"TCP 12.166.6.230:56813->25.0.17.202:80","TCP","12.166.6.230","56813","25.0.17.202","80"
"TCP 80.66.16.239:14228->25.0.18.245:80","TCP","80.66.16.239","14228","25.0.18.245","80"
"TCP 122.52.254.135:35495->25.0.17.103:80","TCP","122.52.254.135","35495","25.0.17.103","80"
"TCP 80.66.16.207:36366->25.0.19.101:80","TCP","80.66.16.207","36366","25.0.19.101","80"
"TCP 80.66.16.217:3877->25.0.19.68:80","TCP","80.66.16.217","3877","25.0.19.68","80"
"TCP 213.184.19.19:61750->25.0.19.114:80","TCP","213.184.19.19","61750","25.0.19.114","80"
"TCP 122.52.227.198:7123->25.0.18.62:80","TCP","122.52.227.198","7123","25.0.18.62","80"
"TCP 80.66.18.234:46191->25.0.18.228:80","TCP","80.66.18.234","46191","25.0.18.228","80"
"TCP 12.166.7.206:53892->25.0.18.52:80","TCP","12.166.7.206","53892","25.0.18.52","80"
"TCP 12.166.6.204:42031->25.0.19.56:80","TCP","12.166.6.204","42031","25.0.19.56","80"
"TCP 213.184.19.146:25596->25.0.17.240:52703","TCP","213.184.19.146","25596","25.0.17.240","52703"
