"time","sip","dip","sport","dport","score","rank","original","type","label","y","TP","FP"
"2016-11-11 02:50:43","213.184.3.118","25.0.2.230",62999,25,0.00114324244043634,114268479,"TCP 213.184.3.118:62999->25.0.2.230:25","TCP","bad",1892,0.273528986554865,0.000358735540128463
"2016-11-11 02:41:24","80.66.4.114","25.0.2.134",38534,25,0.00114324244043634,114268480,"TCP 80.66.4.114:38534->25.0.2.134:25","TCP","bad",1893,0.273673557900824,0.000358735540128463
"2016-11-11 02:41:24","80.66.4.114","25.0.2.134",38534,25,0.00114324244043634,114268480,"TCP 80.66.4.114:38534->25.0.2.134:25","TCP","bad",1894,0.273818129246783,0.000358735536989002
"2016-11-11 02:39:34","80.66.2.176","25.0.2.134",54585,25,0.00114324244043634,114268481,"TCP 80.66.2.176:54585->25.0.2.134:25","TCP","bad",1895,0.273962700592743,0.000358735536989002
"2016-11-11 02:39:34","80.66.2.176","25.0.2.134",54585,25,0.00114324244043634,114268481,"TCP 80.66.2.176:54585->25.0.2.134:25","TCP","bad",1896,0.274107271938702,0.000358735533849541
"2016-11-11 02:53:18","213.184.2.144","25.0.2.255",17119,25,0.00114324244043634,114268482,"TCP 213.184.2.144:17119->25.0.2.255:25","TCP","bad",1897,0.274251843284661,0.000358735533849541
"2016-11-11 02:53:18","213.184.2.144","25.0.2.255",17119,25,0.00114324244043634,114268482,"TCP 213.184.2.144:17119->25.0.2.255:25","TCP","bad",1898,0.27439641463062,0.000358735530710079
"2016-11-11 02:42:39","12.166.1.94","25.0.3.177",5512,25,0.00114324244043634,114268483,"TCP 12.166.1.94:5512->25.0.3.177:25","TCP","bad",1899,0.274540985976579,0.000358735530710079
"2016-11-11 02:42:39","12.166.1.94","25.0.3.177",5512,25,0.00114324244043634,114268483,"TCP 12.166.1.94:5512->25.0.3.177:25","TCP","bad",1900,0.274685557322539,0.000358735527570618
"2016-11-11 02:39:25","80.66.2.175","25.0.3.221",49286,25,0.00114324244043634,114268484,"TCP 80.66.2.175:49286->25.0.3.221:25","TCP","bad",1901,0.274830128668498,0.000358735527570618
"2016-11-11 02:39:25","80.66.2.175","25.0.3.221",49286,25,0.00114324244043634,114268484,"TCP 80.66.2.175:49286->25.0.3.221:25","TCP","bad",1902,0.274974700014457,0.000358735524431156
"2016-11-11 02:40:52","80.66.0.37","25.0.2.208",21042,25,0.00114324244043634,114268485,"TCP 80.66.0.37:21042->25.0.2.208:25","TCP","bad",1903,0.275119271360416,0.000358735524431156
"2016-11-11 02:40:52","80.66.0.37","25.0.2.208",21042,25,0.00114324244043634,114268485,"TCP 80.66.0.37:21042->25.0.2.208:25","TCP","bad",1904,0.275263842706376,0.000358735521291695
"2016-11-11 02:48:53","213.184.1.111","25.0.2.208",28709,25,0.00114324244043634,114268486,"TCP 213.184.1.111:28709->25.0.2.208:25","TCP","bad",1905,0.275408414052335,0.000358735521291695
